Person,Aufwachsort,Umgebung,MOS
P0,gr,landscape,6.199999999999999
P0,gr,beach,6.3
P1,de,landscape,7.35
P1,de,beach,8.4
P2,gr,landscape,4.725
P2,gr,beach,5.75
P3,gr,landscape,4.775
P3,gr,beach,7.85
P4,de,landscape,3.55
P4,de,beach,4.1000000000000005
P5,de,landscape,3.3499999999999996
P5,de,beach,3.0
P6,de,landscape,4.875
P6,de,beach,5.925000000000001
P7,gr,landscape,8.325
P7,gr,beach,8.65
P8,de,landscape,6.775
P8,de,beach,6.799999999999999
P9,gr,landscape,4.8999999999999995
P9,gr,beach,5.45
P10,de,landscape,6.6
P10,de,beach,7.05
P11,gr,landscape,4.9750000000000005
P11,gr,beach,7.0
P12,de,landscape,3.8
P12,de,beach,5.7
P13,gr,landscape,6.6
P13,gr,beach,7.050000000000001
P14,gr,landscape,5.949999999999999
P14,gr,beach,6.95
P15,de,landscape,6.8
P15,de,beach,3.9499999999999997
P16,gr,landscape,2.825
P16,gr,beach,6.074999999999999
P17,de,landscape,5.875
P17,de,beach,7.45
P18,gr,landscape,5.0
P18,gr,beach,5.15
P19,gr,landscape,4.5
P19,gr,beach,6.550000000000001
P20,gr,landscape,4.0
P20,gr,beach,7.525
P21,gr,landscape,5.500000000000001
P21,gr,beach,5.45
P22,gr,landscape,2.7
P22,gr,beach,2.3
P23,gr,landscape,6.275
P23,gr,beach,6.925
P24,gr,landscape,5.725
P24,gr,beach,6.5
P25,gr,landscape,3.35
P25,gr,beach,5.5249999999999995
P26,gr,landscape,5.325
P26,gr,beach,3.875
P27,gr,landscape,5.3
P27,gr,beach,7.15
P28,de,landscape,3.05
P28,de,beach,7.0
P29,gr,landscape,6.675000000000001
P29,gr,beach,7.125
P30,gr,landscape,8.575
P30,gr,beach,9.2
P31,gr,landscape,6.05
P31,gr,beach,5.525
P32,gr,landscape,7.775
P32,gr,beach,7.875
P33,gr,landscape,4.875
P33,gr,beach,5.9750000000000005
P34,gr,landscape,6.3999999999999995
P34,gr,beach,8.35
P35,de,landscape,4.4750000000000005
P35,de,beach,6.2
P36,gr,landscape,4.825
P36,gr,beach,7.9
P37,de,landscape,4.225
P37,de,beach,5.925000000000001
P38,de,landscape,5.625
P38,de,beach,7.8
P39,gr,landscape,6.55
P39,gr,beach,7.1
P40,gr,landscape,5.975
P40,gr,beach,7.675
P41,gr,landscape,5.525
P41,gr,beach,6.9
P42,de,landscape,2.0500000000000003
P42,de,beach,4.175
P43,gr,landscape,5.449999999999999
P43,gr,beach,6.475
P44,gr,landscape,7.075000000000001
P44,gr,beach,8.275
P45,gr,landscape,4.675
P45,gr,beach,7.675000000000001
P46,de,landscape,5.6
P46,de,beach,6.500000000000001
P47,gr,landscape,5.8999999999999995
P47,gr,beach,6.3
P48,de,landscape,4.6
P48,de,beach,4.6
P49,de,landscape,4.3500000000000005
P49,de,beach,6.499999999999999
P50,gr,landscape,6.9750000000000005
P50,gr,beach,6.875
P51,gr,landscape,3.175
P51,gr,beach,4.7
P52,gr,landscape,4.425
P52,gr,beach,5.65
P53,gr,landscape,7.424999999999999
P53,gr,beach,7.925000000000001
P54,gr,landscape,6.075
P54,gr,beach,6.9
P55,de,landscape,2.45
P55,de,beach,5.925000000000001
P56,gr,landscape,6.625
P56,gr,beach,7.424999999999999
P57,de,landscape,3.95
P57,de,beach,4.225
P58,gr,landscape,4.074999999999999
P58,gr,beach,4.875
P59,gr,landscape,4.8
P59,gr,beach,5.5
P60,gr,landscape,7.975
P60,gr,beach,8.475
P61,gr,landscape,5.574999999999999
P61,gr,beach,4.1
P62,de,landscape,3.0500000000000003
P62,de,beach,8.75
P63,de,landscape,4.875
P63,de,beach,4.825
P64,de,landscape,4.324999999999999
P64,de,beach,6.824999999999999
P65,de,landscape,3.4
P65,de,beach,5.0
P66,de,landscape,4.375
P66,de,beach,5.199999999999999
P67,de,landscape,4.575
P67,de,beach,6.25
P68,de,landscape,3.4749999999999996
P68,de,beach,4.525
P69,gr,landscape,5.55
P69,gr,beach,4.499999999999999
P70,de,landscape,5.05
P70,de,beach,6.775
P71,gr,landscape,5.475
P71,gr,beach,5.925000000000001
P72,gr,landscape,4.749999999999999
P72,gr,beach,4.05
P73,gr,landscape,5.05
P73,gr,beach,4.5
P74,gr,landscape,5.25
P74,gr,beach,6.450000000000001
P75,gr,landscape,3.775
P75,gr,beach,5.7
P76,gr,landscape,5.525
P76,gr,beach,4.975
P77,gr,landscape,7.7
P77,gr,beach,8.15
P78,de,landscape,5.65
P78,de,beach,9.049999999999999
P79,de,landscape,5.6
P79,de,beach,6.0
P80,gr,landscape,5.85
P80,gr,beach,7.475
P81,gr,landscape,6.074999999999999
P81,gr,beach,6.05
P82,gr,landscape,5.975
P82,gr,beach,5.949999999999999
P83,gr,landscape,4.75
P83,gr,beach,6.45
P84,de,landscape,4.5
P84,de,beach,5.6
P85,de,landscape,8.0
P85,de,beach,7.875
P86,de,landscape,4.85
P86,de,beach,6.3
P87,de,landscape,6.324999999999999
P87,de,beach,8.175
P88,de,landscape,4.775
P88,de,beach,7.65
P89,de,landscape,6.775
P89,de,beach,9.475000000000001
P90,gr,landscape,7.449999999999999
P90,gr,beach,7.550000000000001
P91,gr,landscape,8.024999999999999
P91,gr,beach,8.625
P92,gr,landscape,6.5
P92,gr,beach,6.550000000000001
P93,de,landscape,3.85
P93,de,beach,6.550000000000001
P94,gr,landscape,5.75
P94,gr,beach,6.95
P95,de,landscape,4.125
P95,de,beach,6.199999999999999
P96,gr,landscape,2.525
P96,gr,beach,3.475
P97,gr,landscape,7.2250000000000005
P97,gr,beach,7.124999999999999
P98,gr,landscape,5.574999999999999
P98,gr,beach,6.3
P99,gr,landscape,5.925
P99,gr,beach,7.725
P100,gr,landscape,5.1499999999999995
P100,gr,beach,3.0749999999999997
P101,de,landscape,5.550000000000001
P101,de,beach,6.975
P102,gr,landscape,8.025
P102,gr,beach,8.725000000000001
P103,de,landscape,6.4750000000000005
P103,de,beach,8.95
P104,de,landscape,3.7750000000000004
P104,de,beach,5.125
P105,gr,landscape,6.7250000000000005
P105,gr,beach,5.449999999999999
P106,de,landscape,4.475
P106,de,beach,5.225
P107,gr,landscape,3.0250000000000004
P107,gr,beach,6.1
P108,de,landscape,5.75
P108,de,beach,7.300000000000001
P109,gr,landscape,6.025
P109,gr,beach,6.225
P110,gr,landscape,6.15
P110,gr,beach,7.2
P111,gr,landscape,3.975
P111,gr,beach,4.675000000000001
P112,de,landscape,5.05
P112,de,beach,6.5
P113,gr,landscape,6.375
P113,gr,beach,7.1499999999999995
P114,gr,landscape,4.875
P114,gr,beach,3.325
P115,gr,landscape,6.875
P115,gr,beach,7.6
P116,de,landscape,6.175
P116,de,beach,6.45
P117,de,landscape,4.85
P117,de,beach,4.9
P118,gr,landscape,5.1000000000000005
P118,gr,beach,5.875
P119,gr,landscape,4.3500000000000005
P119,gr,beach,5.6499999999999995
P120,gr,landscape,5.475
P120,gr,beach,6.2250000000000005
P121,de,landscape,6.299999999999999
P121,de,beach,8.025
P122,gr,landscape,5.9750000000000005
P122,gr,beach,5.225
P123,gr,landscape,6.725
P123,gr,beach,7.125
P124,gr,landscape,4.375
P124,gr,beach,7.9750000000000005
P125,de,landscape,2.95
P125,de,beach,3.9
P126,de,landscape,2.725
P126,de,beach,3.45
P127,gr,landscape,4.425
P127,gr,beach,7.35
P128,de,landscape,4.5249999999999995
P128,de,beach,6.174999999999999
P129,gr,landscape,5.525
P129,gr,beach,5.75
P130,gr,landscape,4.9
P130,gr,beach,6.575
P131,gr,landscape,5.125
P131,gr,beach,7.450000000000001
